E,LDOS
 -0.75093333333333334      ,   8.3604356216331277E-002
 -0.75040000000000007      ,   8.3764125979801485E-002
 -0.74986666666666668      ,   8.3924427767554904E-002
 -0.74933333333333341      ,   8.4085264113027580E-002
 -0.74880000000000002      ,   8.4246637565306204E-002
 -0.74826666666666675      ,   8.4408550689247047E-002
 -0.74773333333333336      ,   8.4571006065596199E-002
 -0.74720000000000009      ,   8.4734006291108999E-002
 -0.74666666666666670      ,   8.4897553978672977E-002
 -0.74613333333333332      ,   8.5061651757430065E-002
 -0.74560000000000004      ,   8.5226302272900470E-002
 -0.74506666666666677      ,   8.5391508187108722E-002
 -0.74453333333333338      ,   8.5557272178709107E-002
 -0.74399999999999999      ,   8.5723596943113003E-002
 -0.74346666666666672      ,   8.5890485192618007E-002
 -0.74293333333333333      ,   8.6057939656536811E-002
 -0.74240000000000006      ,   8.6225963081328891E-002
 -0.74186666666666667      ,   8.6394558230732291E-002
 -0.74133333333333340      ,   8.6563727885896724E-002
 -0.74080000000000001      ,   8.6733474845518230E-002
 -0.74026666666666674      ,   8.6903801925974494E-002
 -0.73973333333333335      ,   8.7074711961463130E-002
 -0.73920000000000008      ,   8.7246207804137735E-002
 -0.73866666666666669      ,   8.7418292324249261E-002
 -0.73813333333333342      ,   8.7590968410285935E-002
 -0.73760000000000003      ,   8.7764238969115629E-002
 -0.73706666666666676      ,   8.7938106926128495E-002
 -0.73653333333333337      ,   8.8112575225383086E-002
 -0.73599999999999999      ,   8.8287646829750488E-002
 -0.73546666666666671      ,   8.8463324721063649E-002
 -0.73493333333333333      ,   8.8639611900264578E-002
 -0.73440000000000005      ,   8.8816511387555516E-002
 -0.73386666666666667      ,   8.8994026222549719E-002
 -0.73333333333333339      ,   8.9172159464424611E-002
 -0.73280000000000001      ,   8.9350914192076400E-002
 -0.73226666666666673      ,   8.9530293504275438E-002
 -0.73173333333333335      ,   8.9710300519824135E-002
 -0.73120000000000007      ,   8.9890938377714807E-002
 -0.73066666666666669      ,   9.0072210237290229E-002
 -0.73013333333333341      ,   9.0254119278405695E-002
 -0.72960000000000003      ,   9.0436668701591880E-002
